

[07/09/2023, 14:53:18] plate_detected; ['NWT18S1']
[07/09/2023, 14:53:19] plate_detected; ['L5V1983']

[07/09/2023, 14:59:41] plate_detected; ['9SM11']
[07/09/2023, 14:59:41] plate_detected; ['BFM10798']
[07/09/2023, 14:59:42] plate_detected; ['BFM1090']

[07/09/2023, 15:35:22] plate_detected; ['ATL6867']
[07/09/2023, 15:35:22] white_plate_detected; ['ATL6867']
[07/09/2023, 15:35:22] plate_detected; ['ATL6867']
[07/09/2023, 15:35:23] plate_detected; ['ATL6867']
[07/09/2023, 15:35:23] plate_detected; ['ATL6867']
[07/09/2023, 15:35:24] plate_detected; ['ATL6867']
[07/09/2023, 15:35:24] plate_detected; ['ATL6867']
[07/09/2023, 15:35:24] plate_detected; ['ATL6867']
[07/09/2023, 15:35:25] plate_detected; ['ATL6867']
[07/09/2023, 15:35:25] plate_detected; ['ATL6867']
[07/09/2023, 15:35:25] plate_detected; ['ATL6867']
[07/09/2023, 15:35:26] plate_detected; ['ATL6867']
[07/09/2023, 15:35:26] plate_detected; ['ATL6867']
[07/09/2023, 15:35:26] plate_detected; ['ATL6867']
[07/09/2023, 15:35:26] plate_detected; ['ATL6867']

[07/09/2023, 15:49:21] plate_detected; ['A6U1550']
[07/09/2023, 15:49:21] plate_detected; ['AGU1550']
[07/09/2023, 15:49:21] white_plate_detected; ['AGU1550']

[07/09/2023, 15:49:29] plate_detected; ['AWY758S']
[07/09/2023, 15:49:30] plate_detected; ['AWY7383']
[07/09/2023, 15:49:30] white_plate_detected; ['AWY7383']
[07/09/2023, 15:49:30] plate_detected; ['AWY1383']

[07/09/2023, 16:03:00] plate_detected; ['AAD7379']
[07/09/2023, 16:03:00] white_plate_detected; ['AAD7379']
[07/09/2023, 16:03:00] plate_detected; ['AAD7379']
[07/09/2023, 16:03:00] plate_detected; ['AAD7379']
[07/09/2023, 16:03:01] plate_detected; ['AAD7379']
[07/09/2023, 16:03:01] plate_detected; ['AAD737']
[07/09/2023, 16:03:01] plate_detected; ['AAQ75']
[07/09/2023, 16:03:02] plate_detected; ['AAQ605']

[07/09/2023, 16:59:51] plate_detected; ['N8S']

[07/09/2023, 17:03:17] plate_detected; ['BNHKC25']

[07/09/2023, 17:15:14] plate_detected; ['ADN75M']
[07/09/2023, 17:15:14] plate_detected; ['AFPN7592']
[07/09/2023, 17:15:15] plate_detected; ['BPW9532']
[07/09/2023, 17:15:15] plate_detected; ['BAFV7596']
[07/09/2023, 17:15:15] plate_detected; ['DPW9592']

[07/09/2023, 17:19:16] plate_detected; ['BWM3215']
[07/09/2023, 17:19:16] plate_detected; ['BWFM3715']
[07/09/2023, 17:19:16] plate_detected; ['BWFM3215']
[07/09/2023, 17:19:17] plate_detected; ['BAFVMVZ15']
[07/09/2023, 17:19:17] plate_detected; ['AFNVC5']
[07/09/2023, 17:19:17] plate_detected; ['ABFMS21']
[07/09/2023, 17:19:18] plate_detected; ['AFN2']

[07/09/2023, 17:36:04] plate_detected; ['B028HS']
[07/09/2023, 17:36:04] plate_detected; ['B828H5']
[07/09/2023, 17:36:05] plate_detected; ['2028H5']
[07/09/2023, 17:36:05] plate_detected; ['2028H9']
[07/09/2023, 17:36:05] white_plate_detected; ['2028H9']
[07/09/2023, 17:36:05] plate_detected; ['2028H9']
[07/09/2023, 17:36:06] plate_detected; ['2V8H5']
[07/09/2023, 17:36:06] plate_detected; ['A3L5N']
[07/09/2023, 17:36:06] plate_detected; ['A12255']

