[07/28/2023, 17:27:45] plate_detected; ['1AL111']
[07/28/2023, 17:27:46] plate_detected; ['1AL111']
[07/28/2023, 17:27:46] plate_detected; ['1AT111']
[07/28/2023, 17:27:46] plate_detected; ['AAL111']
[07/28/2023, 17:27:46] plate_detected; ['1AL111']
[07/28/2023, 17:27:47] plate_detected; ['1AT111']
[07/28/2023, 17:27:47] plate_detected; ['AAT111']
[07/28/2023, 17:27:47] plate_detected; ['1AT111']
[07/28/2023, 17:27:48] plate_detected; ['1AL111']
[07/28/2023, 17:27:48] plate_detected; ['1AT111']
[07/28/2023, 17:27:48] plate_detected; ['1AL111']
[07/28/2023, 17:27:48] plate_detected; ['AAL111']
[07/28/2023, 17:27:48] plate_detected; ['AAL111']
[07/28/2023, 17:27:49] plate_detected; ['1AL111']
[07/28/2023, 17:27:49] plate_detected; ['1AL111']
[07/28/2023, 17:27:49] plate_detected; ['1AT111']
[07/28/2023, 17:27:49] plate_detected; ['1AT111']
[07/28/2023, 17:27:50] plate_detected; ['1AT111']
[07/28/2023, 17:27:50] plate_detected; ['AAT111']
[07/28/2023, 17:27:50] plate_detected; ['1AL111']
[07/28/2023, 17:27:50] plate_detected; ['AAT111']
[07/28/2023, 17:27:51] plate_detected; ['AAT111']
[07/28/2023, 17:27:51] plate_detected; ['1AT111']
[07/28/2023, 17:27:51] plate_detected; ['1AT111']
[07/28/2023, 17:27:52] plate_detected; ['AAT111']
[07/28/2023, 17:27:52] plate_detected; ['AAT111']
[07/28/2023, 17:27:52] plate_detected; ['AAT111']
[07/28/2023, 17:27:52] plate_detected; ['AAL111']
[07/28/2023, 17:27:53] plate_detected; ['1AL111']
[07/28/2023, 17:27:53] plate_detected; ['AAL111']
[07/28/2023, 17:27:53] plate_detected; ['1AL111']
[07/28/2023, 17:27:53] plate_detected; ['1AL111']
[07/28/2023, 17:27:54] plate_detected; ['AAT111']
[07/28/2023, 17:27:54] plate_detected; ['AAT111']
[07/28/2023, 17:27:54] plate_detected; ['1AT111']
[07/28/2023, 17:27:54] plate_detected; ['1AT111']
[07/28/2023, 17:27:55] plate_detected; ['AAL111']
[07/28/2023, 17:27:55] plate_detected; ['AAT111']
[07/28/2023, 17:27:55] plate_detected; ['AAT111']
[07/28/2023, 17:27:55] plate_detected; ['AAT111']
[07/28/2023, 17:27:56] plate_detected; ['AAT111']
[07/28/2023, 17:27:56] plate_detected; ['1AT111']
[07/28/2023, 17:27:56] plate_detected; ['AAT111']
[07/28/2023, 17:27:56] plate_detected; ['AAT111']
[07/28/2023, 17:27:57] plate_detected; ['1AL111']
[07/28/2023, 17:27:57] plate_detected; ['1AL111']
[07/28/2023, 17:27:57] plate_detected; ['1AT111']
[07/28/2023, 17:27:57] plate_detected; ['AAL111']
[07/28/2023, 17:27:58] plate_detected; ['AAL111']
[07/28/2023, 17:27:58] plate_detected; ['1AL111']
[07/28/2023, 17:27:58] plate_detected; ['1AL111']
[07/28/2023, 17:27:58] plate_detected; ['1AL111']
[07/28/2023, 17:27:59] plate_detected; ['1AL11']
[07/28/2023, 17:27:59] plate_detected; ['AAT111']
[07/28/2023, 17:27:59] plate_detected; ['AAT111']
[07/28/2023, 17:27:59] plate_detected; ['1AT111']
[07/28/2023, 17:28:00] plate_detected; ['AAL111']
[07/28/2023, 17:28:00] plate_detected; ['AA111']
[07/28/2023, 17:28:00] plate_detected; ['AA111']
[07/28/2023, 17:28:00] plate_detected; ['AA111']
[07/28/2023, 17:28:00] plate_detected; ['AAL111']
[07/28/2023, 17:28:01] plate_detected; ['AL111']
[07/28/2023, 17:28:01] plate_detected; ['AAT111']
[07/28/2023, 17:28:01] plate_detected; ['AAL111']
[07/28/2023, 17:28:01] plate_detected; ['AAL111']
[07/28/2023, 17:28:02] plate_detected; ['AAL111']
[07/28/2023, 17:28:02] plate_detected; ['AAT111']
[07/28/2023, 17:28:02] plate_detected; ['AAL111']
[07/28/2023, 17:28:02] plate_detected; ['AAL111']
[07/28/2023, 17:28:03] plate_detected; ['AL111']
[07/28/2023, 17:28:03] plate_detected; ['AAL111']
[07/28/2023, 17:28:03] plate_detected; ['1AL111']
[07/28/2023, 17:28:04] plate_detected; ['1AL111']
[07/28/2023, 17:28:04] plate_detected; ['AAT111']
[07/28/2023, 17:28:04] plate_detected; ['AT111']
[07/28/2023, 17:28:04] plate_detected; ['AAL111']

[07/28/2023, 17:33:20] plate_detected; ['BAF111']
[07/28/2023, 17:33:20] plate_detected; ['1AL111']
[07/28/2023, 17:33:20] plate_detected; ['AA111']
[07/28/2023, 17:33:21] plate_detected; ['AL11']
[07/28/2023, 17:33:21] plate_detected; ['AT111']
[07/28/2023, 17:33:21] plate_detected; ['AA11']
[07/28/2023, 17:33:21] plate_detected; ['AA111']
[07/28/2023, 17:33:22] plate_detected; ['AA111']
[07/28/2023, 17:33:22] plate_detected; ['AA111']
[07/28/2023, 17:33:22] plate_detected; ['AAT111']
[07/28/2023, 17:33:22] plate_detected; ['AA111']
[07/28/2023, 17:33:23] plate_detected; ['AA11']
[07/28/2023, 17:33:23] plate_detected; ['AA11']
[07/28/2023, 17:33:23] plate_detected; ['AA111']
[07/28/2023, 17:33:23] plate_detected; ['AT111']
[07/28/2023, 17:33:23] plate_detected; ['AT111']
[07/28/2023, 17:33:24] plate_detected; ['AT11']
[07/28/2023, 17:33:24] plate_detected; ['AA11']
[07/28/2023, 17:33:24] plate_detected; ['AA11']
[07/28/2023, 17:33:24] plate_detected; ['AA11']
[07/28/2023, 17:33:24] plate_detected; ['AA11']
[07/28/2023, 17:33:25] plate_detected; ['AA11']
[07/28/2023, 17:33:25] plate_detected; ['AA11']
[07/28/2023, 17:33:25] plate_detected; ['AA11']
[07/28/2023, 17:33:25] plate_detected; ['AA11']
[07/28/2023, 17:33:25] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:26] plate_detected; ['AA11']
[07/28/2023, 17:33:27] plate_detected; ['AA11']
[07/28/2023, 17:33:27] plate_detected; ['AA11']
[07/28/2023, 17:33:27] plate_detected; ['AA11']
[07/28/2023, 17:33:27] plate_detected; ['AA11']
[07/28/2023, 17:33:27] plate_detected; ['AA11']
[07/28/2023, 17:33:28] plate_detected; ['AA11']
[07/28/2023, 17:33:28] plate_detected; ['AA11']
